date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-08-09,MI,170,1.0228492265847349,1.0209834446411086,0.949064959355077,1.1070967341426574,924.5746052811415,939.8785728578628,862.5233122245733,535,26211,26211,535,-1
2020-08-10,MI,171,1.021242561256922,1.019042908257836,0.932382287157872,1.0917246048879852,928.206506489526,940.7927647781032,1152.9930020893928,580,21257,21257,580,7
2020-08-11,MI,172,1.0215911988779205,1.020304250035881,0.9484303157844682,1.1039021194068477,932.1048211517226,941.9368819485616,1599.302087569566,907,23965,23965,907,7
2020-08-12,MI,173,1.0192585821406843,1.0159108415598177,0.9426690308836172,1.1040413834157512,935.902937585444,943.3266145623936,570.0236381287809,476,35287,35287,476,6
2020-08-13,MI,174,1.0190188628370391,1.0170618629322783,0.9373882300196194,1.0958999280031303,939.5455192764956,944.9653319115728,1216.2817818600192,1167,40545,40545,1167,16
2020-08-14,MI,175,1.0174934330499772,1.0172732012929169,0.9318109851331076,1.0914731704763394,942.9763812438728,946.8359859786636,946.1948660149152,868,38765,38765,868,11
2020-08-15,MI,176,1.0157418612082192,1.0156192688590229,0.9329924439500747,1.0927060160919233,946.206589740125,948.926089610134,1459.713685226514,1058,30628,30628,1058,20
2020-08-16,MI,177,1.0166143060558952,1.0185035246651486,0.9434810444055324,1.0964003637518944,949.2568499481438,951.2455681896796,688.6229138798425,477,29271,29271,477,6
2020-08-17,MI,178,1.0173176310831995,1.0177011328255705,0.9444936101565884,1.0988863886962237,952.0423215576666,953.8043034175446,1080.8594679763198,490,19157,19157,490,0
2020-08-18,MI,179,1.0146733094385283,1.0148594082683913,0.9402507115608376,1.10005317138023,954.7602453290745,956.583812613275,1238.2921662505987,654,22318,22318,654,16
2020-08-19,MI,180,1.0130985735837177,1.0129330531878642,0.9362233044773588,1.0942762852059766,957.6100135130768,959.5477986785054,890.0881470252107,688,32663,32663,688,10
2020-08-20,MI,181,1.0130737912051366,1.0110136038491009,0.9258215758120776,1.085203917084095,960.3036809550684,962.6493074133184,729.8138883301331,527,30514,30514,527,16
2020-08-21,MI,182,1.0108885754260164,1.010424769870944,0.9288983608344448,1.0916584172648325,962.6312720646388,965.840584649256,0,0,0,0,0,0
2020-08-22,MI,183,1.008389032511268,1.007146349032208,0.9172371294379386,1.081593041171674,964.7622351649349,969.0773711658094,1807.5639070371576,1426,33337,33337,1426,21
2020-08-23,MI,184,1.0056879538479857,1.003712858805251,0.9245670532775953,1.084035168857991,966.6966299301976,972.3136257185456,433.7390116521469,764,74433,74433,764,4
2020-08-24,MI,185,1.003858312467454,1.0019282165983627,0.919351218445076,1.0809743364608442,968.241168923554,975.5186314086816,1731.9492071857874,878,21422,21422,878,4
2020-08-25,MI,186,1.0022628115798249,1.000022502671625,0.9251859788758532,1.0833525730475932,969.2901027964016,978.68754999177645,1655.0632611413864,951,24281,24281,951,21
2020-03-03,AL,0,2.10104013868217,2.0872172791706016,1.83129996671616,2.4056132784230524,154.53415309578295,0,0,0,0,NA,NA,NA
2020-03-04,AL,1,2.0916535461250247,2.0752171937216817,1.8059143984305988,2.360928661587712,2.332920587944733,0,0,0,0,NA,NA,NA
2020-03-05,AL,2,2.081427859181358,2.0683711218032217,1.814744620050656,2.3448738719780207,33.087023569218786,0,0,0,0,NA,NA,NA
2020-03-06,AL,3,2.070324328268117,2.060161129991553,1.8147047577595847,2.308253993678244,63.099898268931206,0,0,0,0,NA,NA,NA
2020-03-07,AL,4,2.058229533625924,2.0491108758034406,1.8109377914735407,2.2807961341041207,70.64894018335539,0,0,0,0,0,0,0
2020-03-08,AL,5,2.035864753547666,2.02821881836073,1.8069808548830792,2.245329017930854,77.3888346088913,0,0,0,0,0,0,0
2020-03-09,AL,6,2.005499499926816,2.0005711575731797,1.7863740647183617,2.1982703981531917,90.21936172111788,10.418530684725727,0,0,0,0,0,0
2020-03-10,AL,7,1.9782769797837456,1.9733903941229751,1.7741774162722306,2.159135985560271,105.76558955397503,16.245122743458982,0,0,0,0,0,0
2020-03-11,AL,8,1.9397225827381768,1.9346048376835363,1.7488133273340878,2.1154945523556736,122.61001586478032,20.50156000524963,0,0,0,10,0,0
2020-03-12,AL,9,1.8942632271183155,1.894932421371739,1.7243175775405784,2.057871329597241,141.46183735394317,25.367974913551564,0,0,0,0,0,0
2020-03-13,AL,10,1.849735077466538,1.8494098969028885,1.6844195149645875,2.00851405799678,162.75356399835326,31.862720007069136,3.541294689237839,1,2,2,1,0
2020-03-14,AL,11,1.7945893824304244,1.7942861213563388,1.6621691680560415,1.9624569635405504,186.3780130185721,38.15509243261501,17.706473446189193,5,62,16,5,0
2020-03-15,AL,12,1.7377458501454788,1.7389230680761214,1.6083714545052568,1.886003697705356,212.24463409308223,46.52379065584383,21.247768135427037,6,12,12,6,0
2020-03-16,AL,13,1.6798382333613795,1.6739578928092556,1.5490703814099922,1.8196836031244472,240.18525930649844,54.09490506959238,56.66071502780542,16,10,16,16,0
